#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 950  40
# Band-Index:    1
   4.16873    -45.998087    -45.998072
   4.18111    -45.998044    -45.998028
   4.19349    -45.997998    -45.997983
   4.20587    -45.997951    -45.997936
   4.21825    -45.997902    -45.997887
   4.23063    -45.997852    -45.997836
   4.24302    -45.997800    -45.997785
   4.25540    -45.997748    -45.997733
   4.26778    -45.997695    -45.997680
   4.28016    -45.997640    -45.997625
   4.29254    -45.997585    -45.997570
   4.30492    -45.997530    -45.997515
   4.31730    -45.997474    -45.997458
   4.32968    -45.997417    -45.997402
   4.34206    -45.997359    -45.997344
   4.35444    -45.997301    -45.997286
   4.36682    -45.997243    -45.997228
   4.37920    -45.997184    -45.997169
   4.39158    -45.997126    -45.997111
   4.40396    -45.997068    -45.997053
   4.41634    -45.997010    -45.996995
   4.42872    -45.996953    -45.996938
   4.44110    -45.996896    -45.996881
   4.45348    -45.996840    -45.996825
   4.46586    -45.996785    -45.996769
   4.47824    -45.996729    -45.996714
   4.49062    -45.996674    -45.996659
   4.50300    -45.996620    -45.996605
   4.51538    -45.996568    -45.996552
   4.52776    -45.996516    -45.996501
   4.54014    -45.996466    -45.996451
   4.54014    -45.996466    -45.996451
   4.55252    -45.996516    -45.996501
   4.56490    -45.996568    -45.996552
   4.57728    -45.996620    -45.996605
   4.58966    -45.996674    -45.996659
   4.60204    -45.996729    -45.996714
   4.61442    -45.996785    -45.996769
   4.62680    -45.996840    -45.996825
   4.63918    -45.996896    -45.996881
   4.65156    -45.996953    -45.996938
   4.66394    -45.997010    -45.996995
   4.67632    -45.997068    -45.997053
   4.68870    -45.997126    -45.997111
   4.70108    -45.997184    -45.997169
   4.71346    -45.997243    -45.997228
   4.72584    -45.997301    -45.997286
   4.73822    -45.997359    -45.997344
   4.75060    -45.997417    -45.997402
   4.76298    -45.997474    -45.997458
   4.77536    -45.997530    -45.997515
   4.78774    -45.997585    -45.997570
   4.80012    -45.997640    -45.997625
   4.81250    -45.997695    -45.997680
   4.82488    -45.997748    -45.997733
   4.83726    -45.997800    -45.997785
   4.84964    -45.997852    -45.997836
   4.86202    -45.997902    -45.997887
   4.87440    -45.997951    -45.997936
   4.88678    -45.997998    -45.997983
